n_features,features,last_added,AUC,AUC_std,Accuracy,Acc_std,F1,F1_std
1,['sg'],sg,0.9170666666666666,0.014264797385327436,0.8825,0.03020761493398643,0.8967659193543727,0.029175111656784575
2,"['sg', 'hemo']",hemo,0.9826666666666666,0.00838782186002747,0.9324999999999999,0.016955824957813153,0.9466029874260983,0.01306342576589674
3,"['sg', 'hemo', 'al']",al,0.9926,0.009471360338761602,0.9800000000000001,0.016955824957813195,0.984156462705094,0.01328790194053821
4,"['sg', 'hemo', 'al', 'rbc']",rbc,0.9961333333333332,0.007733333333333369,0.9850000000000001,0.009354143466934868,0.9881180353329452,0.007411090346647638
5,"['sg', 'hemo', 'al', 'rbc', 'pcv']",pcv,0.9991333333333333,0.00118509258897537,0.9925,0.010000000000000004,0.9940198019801979,0.007990191026007764
6,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn']",htn,0.9993333333333332,0.0008164965809277176,0.9925,0.010000000000000004,0.9940198019801979,0.007990191026007764
7,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm']",dm,0.9996,0.0005333333333332968,0.9925,0.010000000000000004,0.9940198019801979,0.007990191026007764
8,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc']",sc,0.9993333333333332,0.0010327955589886023,0.9875,0.007905694150420955,0.990019401940194,0.006324996866166466
9,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod']",sod,0.9994666666666667,0.0007774602526460382,0.9875,0.007905694150420955,0.990019401940194,0.006324996866166466
10,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu']",bu,0.9994666666666667,0.0007774602526460382,0.9925,0.006123724356957924,0.994019401940194,0.004883684043369652
11,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc']",rc,0.9996,0.0005333333333333135,0.99,0.004999999999999982,0.9920392039203921,0.0039811518126611775
12,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet']",appet,0.9993333333333334,0.0008432740427115628,0.9949999999999999,0.006123724356957924,0.996039603960396,0.004850474738184515
13,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su']",su,0.9992666666666666,0.0009043106644167109,0.99,0.004999999999999982,0.9920392039203921,0.0039811518126611775
14,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr']",bgr,0.9994666666666667,0.0007774602526460421,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
15,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc']",pc,0.9996,0.0005333333333333079,0.9949999999999999,0.006123724356957924,0.996039603960396,0.004850474738184515
16,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp']",bp,0.9991999999999999,0.0009797958971132842,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
17,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot']",pot,0.9994666666666667,0.0004988876515698751,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
18,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc']",wc,0.9996,0.0005333333333333246,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
19,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe']",pe,0.9993333333333332,0.0009189365834726608,0.99,0.009354143466934856,0.9920396039603961,0.007472880091968191
20,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe', 'ba']",ba,0.9994666666666667,0.0007774602526460382,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
21,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe', 'ba', 'ane']",ane,0.9996,0.0005333333333333135,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
22,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe', 'ba', 'ane', 'age']",age,0.9995333333333333,0.0006531972647421904,0.9949999999999999,0.006123724356957924,0.996039603960396,0.004850474738184515
23,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe', 'ba', 'ane', 'age', 'cad']",cad,0.9997333333333334,0.0003265986323711088,0.9924999999999999,0.006123724356957924,0.994059405940594,0.004850474738184515
24,"['sg', 'hemo', 'al', 'rbc', 'pcv', 'htn', 'dm', 'sc', 'sod', 'bu', 'rc', 'appet', 'su', 'bgr', 'pc', 'bp', 'pot', 'wc', 'pe', 'ba', 'ane', 'age', 'cad', 'pcc']",pcc,0.9991333333333333,0.0010241527663825056,0.99,0.009354143466934856,0.9920396039603961,0.007472880091968191
